AUTHOR	COAUTHORS
ALASTAIR SMART	{'E. H. Gombrich': 1}
ALBERT C. NEISSER	{}
ALBERT E. CHAMPNEY	{}
ALBERT N. LINK	{'JOHN LUNN': 1}
ALBERTO ARENAS DE MESA	{'CARMELO MESA-LAGO': 1}
ALBERTO CAVALLO	{'BRENT NEIMAN': 1, 'ROBERTO RIGOBON': 1}
ALBERTO ZORLI	{}
ALBRECHT STALMANN	{}
ALDO CONTENTO	{}
ALEC WORSTER	{}
ALESSANDRO BEBER	{'MARCO PAGANO': 1}
ALEXANDER FRASER	{'Wm. BROTHERTON': 1, 'JOHN F. HODGES': 1, 'H. BEVAN': 1, 'JOHN PHILLIPS': 1, 'TRELAWNY SAUNDERS': 1, 'E. T. LOSEBY': 1}
ALEXANDER J. S. COLVIN	{'MARK D. GOUGH': 1}
ALFONSO PEIROLERI	{}
ALFRED S. EICHNER	{}
ALI KNEEBONE	{}
ALI SAMUELSEN	{'BENDIK M. WARLOP': 1}
ALICIA GIRARDIN	{'ERIC SANTOS': 1}
ALISON BRITTON	{'Cheryl Buckley': 1, 'Whitney Chadwick': 1}
ALLAN P. LAYTON	{'ANIRVAN BANERJI': 1}
ALZADA COMSTOCK	{}
AMEDEO GAMBINO	{}
AMIL DASGUPTA	{'GIORGIA PIACENTINO': 1}
AMITAI ETZIONI	{}
AMY D. ABRAMOWITZ	{'STEPHEN M. BROWN': 1}
AMY E. SMITH	{}
ANABEL MARIN	{}
ANDREAS P. ZANGGER	{}
ANDRES VÁZQUEZ	{}
ANDREW COHEN	{}
ANDREW DILNOT	{'MARK ROBSON': 1}
ANDREW M. SHANKEN	{}
ANDREW R. DAVIDSON	{}
ANDREW ZIMBALIST	{}
ANDRÁS BLAHO	{}
ANDRÉ PIATIER	{}
ANDRÉ SAPIR	{'PIERRE BUIGUES': 1, 'ALEXIS JACQUEMIN': 1}
ANDY LOCKETT	{'GRAHAM MARTIN': 1, 'RACHAEL FINN': 1, 'GRAEME CURRIE': 1, 'JUSTIN WARING': 1}
ANGELA HARRE	{'Pieter C. van Duin': 1}
ANGELA M. BARLING	{}
ANGELO BERTOLINI	{'E. Van Elewyck': 1}
ANGUS STEWART	{'Lowes Dalbiac Luard': 1, 'Angela Fisher': 1, 'Oliver Beckett': 1, 'Stephen Deuchar': 1}
ANIL K. PURI	{}
ANIL SHIVDASANI	{'YIHUI WANG': 1}
ANINDYA CARRION-I-SILVESTRE	{}
ANINDYA SEN	{'HIDEKI ARIIZUMI': 1, 'NATASHA DESOUSA': 1}
ANITA RAO	{'EMILY WANG': 1}
ANNA J. SCHWARTZ	{}
ANNE-CAROLINE PECKHAM	{'Tony Brenton': 1, 'Anna Bramwell': 1}
ANTON VELLEMAN-WIEN	{}
ANTONIO CALAFELL CASTELLO	{}
ANTONIO FOSSATI	{'Pane L. Dal': 1}
ARABINDA GHOSH	{'KAUSIK GUPTA': 1}
ARDEN HALL	{'HAL HOVEY': 1}
ARNO TAUSCH	{}
ARNOLD LUPTON	{}
ARNOLD STRASSER	{}
ARNOLD WHITTICK	{'ROBERT V. V. NICHOLLS': 1}
ARTHUR D. LYNN,	{}
ARTHUR DOLINSKY	{'RICHARD K. CAPUTO': 1}
ARTHUR F. POTTER	{}
ARTHUR FRANCIS	{}
ARTHUR H. KENT	{}
ARTHUR HUNTER	{}
ARTHUR S. HERMAN	{}
ARTHUR SALZ	{}
ARTHUR SNOW	{'BURTON A. WEISBROD': 1}
ASHIMA GOYAL	{}
ATHANASSIOS SKOURAS	{}
ATTILIO CABIATI	{}
ATTILIO GARINO CANINA	{}
ATTILIO GARINO-CANINA	{}
AUGUST ETIENNE	{}
AUGUSTO GRAZIANI	{'Siegmund Feilbogen': 1}
AVNER GREIF	{}
AYELET GNEEZY	{}
Aaditya Mattoo	{'Dominique van der Mensbrugghe': 1, 'Arvind Subramanian': 1, 'Jianwu He': 1}
Aaron Ahuvia	{'Richard P. Bagozzi': 1, 'Rajeev Batra': 1}
Aaron Chatterji	{'Robert H. Frank': 1}
Aaron Director	{}
Aaron M. Garvey	{'Karen Page Winterich': 1, 'Simon J. Blanchard': 1}
Aaron R. Brough	{'Alexander Chernev': 1}
Aaron S. Edlin	{'Stefan Reichelstein': 1}
Aaron Wildavsky	{}
Abagail McWilliams	{'Donald Siegel': 1}
Aban Haq	{'Nirmal Sengupta': 1}
Abayomi Fawehinmi	{'Duncan Austin': 1, 'Amanda Sauer': 1}
Abba P. Lerner	{'J. E. Meade': 1}
Abbott Payson Usher	{'Harold A. Innis': 1}
Abdallah Cheikh Moussa	{'Robert Irwin': 1}
Abdelkader Sid Ahmed	{}
Abdelouahab Zaghrouti	{'Fran\xc3\xa7ois Soumis': 1, 'Issmail El Hallaoui': 1}
Abdul Aziz	{'J.D. Sethi': 1}
Abdul Khaliq Awan	{'Muhammad Saleem': 1}
Abdul Salam	{'Robert E. Evenson': 1, 'James K. Boyce': 1}
Abdulhamid Sukar	{}
Abdullah J. Sultan	{'Jeff Joireman': 1, 'David E. Sprott': 1}
Abdullah Zarinnia	{}
Abdur Rab	{}
Abe M. Tahir,	{}
Abedullah Ali	{'Mubarik Ali': 1}
Abhirup Sarkar	{}
Abhishek Borah	{'Gerard J. Tellis': 1}
Abid Aman Burki	{'Sabur Ghayur': 1}
Abida Hafeez	{}
Abner Brodie	{'Earl F. Cheit': 1, 'Margaret S. Gordon': 1}
Abraham Diskin	{}
Abraham Engelberg	{'B. W. Lindgren': 1}
Abraham J. Briloff	{}
Abraham Park	{'John L. Glascock': 1}
Abraham Pizam	{'Arie Reichel': 1}
Abraham Seidmann	{'Milton L. Smith': 1}
Abraham Zalenznik	{}
Abram Bergson	{'Branko Horvat': 1}
Abram L. Harris	{'Richard Victor Teggart': 1}
Abul M. M. Masih	{}
Achal Bassamboo	{'Ramandeep S. Randhawa': 1}
Achille Agnati	{'E. E. Y. Hales': 1, 'J. G. Lower': 1, 'J. N. Moody': 1}
Achille Basile	{'Chiara Donnini': 1, 'Maria Gabriella Graziano': 1}
Achim Preuss	{'Tilmann Knoll': 1}
Adalbert Wahl	{'Leopold von Wiese': 1}
Adam B. Ashcraft	{'Darrell Duffie': 1}
Adam B. Jaffe	{'Jenny O. Lanjouw': 1, 'Josh Lerner': 1}
Adam Blandin	{'Edward C. Prescott': 1, 'John H. Boyd': 1}
Adam Bonica	{'Michael J. Woodruff': 1}
Adam Brandenburger	{'Partha Dasgupta': 1, 'Ken Binmore': 1}
Adam Guerin	{}
Adam Lindgreen	{'Fran\xc3\xa7ois Maon': 1, 'Jos\xc3\xa9-Rodrigo C\xc3\xb3rdoba': 1, 'Jos\xc3\xa9 Mar\xc3\xada Mendoza': 1}
Adam Przeworski	{'Martin Zechman': 1}
Adam Sarapata	{'Jiri Kolaja': 1}
Adam Smale	{'Mats Ehrnrooth': 1, 'Jennie Sumelius': 1, 'Kristiina M\xc3\xa4kel\xc3\xa4': 1, 'Ingmar Bj\xc3\xb6rkman': 1, 'Sofia John': 1}
Adam Tooze	{'Kim Christian Priemel': 1}
