AUTHOR	COAUTHORS
Stephen L. Newman	{'Anna Elisabetta Galeotti': 1}
Stephen L. Percy	{}
Stephen Layson	{}
Stephen M. Golant	{'Jonathan Barnett': 1}
Stephen M. Pollock	{}
Stephen M. Schaefer	{'Eduardo S. Schwartz': 1}
Stephen Machin	{'Costas Meghir': 1, 'Sandra McNally': 1}
Stephen Mahar	{'P. Daniel Wright': 1, 'Wayne Winston': 1}
Stephen Martin	{}
Stephen Morris	{}
Stephen Murray-Smith	{}
Stephen Nickell	{'Sushil Wadhwani': 1}
Stephen Nord	{'John F. McDonald': 1}
Stephen P. Davies	{'James L. Seale,': 1, 'Donald C. Mead': 1}
Stephen P. Paschall	{}
Stephen Page	{}
Stephen R. Barley	{'Debra E. Meyerson': 1, 'David Halle': 1, 'Stine Grodal': 1}
Stephen R. Hamilton	{'Timothy J. Richards': 1}
Stephen R. Munzer	{}
Stephen R. Sacks	{}
Stephen Resnick	{'Richard Wolff': 1}
Stephen Robert Buzdugan	{}
Stephen Rousseas	{'Peter Wiles': 1}
Stephen S. Porter	{'Frederic B. Kraft': 1, 'Cindy Claycomb': 1}
Stephen T. Easton	{'Forrest Capie': 1}
Stephen T. Worland	{'G. C. Harcourt': 1}
Stephen Tallman	{}
Stephen Thomas Ziliak	{'Jerry L. Mashaw': 1, 'Michael J. Graetz': 1}
Stephen V. Cameron	{'James J. Heckman': 1}
Stephen Vlastos	{'Luke S. Roberts': 1}
Stephen W. Hiemstra	{'Tilman Becker': 1}
Stephen W. Rousseas	{'R. S. Sayers': 1}
Stephen W. Salant	{'Robert J. Reynolds': 1, 'Sheldon Switzer': 1}
Stephen Walker	{'Paul Damien': 1}
Stephen Zwerling	{}
Stergios Skaperdas	{'Li Gan': 1}
Stevan Hadživuković	{}
Steve Alpern	{'Thomas Lidbetter': 1, 'Vic Baston': 1}
Steve Breyman	{}
Steve Clinton	{'Tage Skj\xc3\xb8tt-Larsen': 1, 'Philip B. Schary': 1}
Steve Fazzari	{'Hyman Minsky': 1}
Steve Gabriel	{'Paul Prentice': 1}
Steve Maguire	{'Cynthia Hardy': 1}
Steve McCorriston	{'Donald MacLaren': 2}
Steve Rankin	{'Pekka Sutela': 1}
Steve Shuklian	{}
Steven A. Sharpe	{}
Steven B. Johnson	{}
Steven Buccola	{'Gerald C. Nelson': 1}
Steven C. Michael	{}
Steven Callander	{}
Steven D. Levitt	{}
Steven D. Silver	{}
Steven Dieterle	{'Jeffrey M. Wooldridge': 1, 'Mark D. Reckase': 1, 'Cassandra M. Guarino': 1}
Steven Dubnoff	{'Daniel Horowitz': 1}
Steven Fraser	{'Robert H. Zieger': 1}
Steven G. Darian	{}
Steven G. Medema	{'Harold Demsetz': 1}
Steven Globerman	{'Abraham Tarasofsky': 1, 'Mitchell Rothman': 1}
Steven Huddart	{'Zhan Gao': 1, 'James Ohlson': 1}
Steven J. Brams	{'Samuel Merrill,': 1}
Steven J. Davis	{'John Haltiwanger': 1}
Steven J. Frenkel	{'Michael P. Jackson': 1}
Steven J. Matusz	{}
Steven J. Monahan	{}
Steven J. Pilloff	{}
Steven Johnson	{}
Steven K. Holloway	{'Shreesh Juyal': 1, 'B. Ramesh Babu': 1}
Steven Kelman	{'Mark Carl Rom': 1}
Steven L. Grover	{'Chun Hui': 1}
Steven L. Heston	{'Mark Loewenstein': 1, 'Gregory A. Willard': 1}
Steven Livingstone	{'Pat Nanda': 1, 'Nicola McAllister': 1}
Steven M. Shugan	{}
Steven Manaster	{'Richard J. Rendleman,': 1}
Steven Maynard-Moody	{'Kjell A. Eliassen': 1, 'Jan Kooiman': 1}
Steven Meisel	{'Debra R. Comer': 1, 'Gina Vega': 1}
Steven N. Kaplan	{'Luigi Zingales': 1}
Steven N. Wiggins	{}
Steven P. Feldman	{'Clifford Geertz': 1}
Steven Pressman	{'Ver\xc3\xb3nica Montecinos': 1, 'Mark Lutz': 1}
Steven R. Hickerson	{}
Steven Raphael	{}
Steven Rosefielde	{}
Steven T. Yen	{'Margaret Andrews': 1, 'David B. Eastwood': 1, 'Zhuo Chen': 1}
Steven W. Millsaps	{'Mack Ott': 1}
Steven. W. Floyd	{'Bill Wooldridge': 1}
Stevyn D. Gibson	{}
Stewart Schwab	{}
Stijn Claessens	{}
Stijn M. J. van Osselaer	{'Suresh Ramanathan': 1, 'Angela Y. Lee': 1, 'Jeannette K. Dale': 1, 'J. Edward Russo': 1, 'Chris Janiszewski': 1, 'Paul M. Herr': 1, 'Margaret C. Campbell': 1, 'Nader T. Tavassoli': 1, 'Joel B. Cohen': 1, 'Stephen J. Read': 1, 'Arie W. Kruglanski': 1}
Stilianos Fountas	{'Kyriacos Aristotelous': 1}
Stuart A. Low	{'Michael B. Ormiston': 1}
Stuart A. Rice	{}
Stuart B. Proudfoot	{}
Stuart Blumin	{'Stanley Buder': 1}
Stuart Bruchey	{'Ralph L. Nelson': 1}
Stuart D. Sidle	{}
Stuart Daggett	{}
Stuart Gillespie	{'Suneetha Kadiyala': 1}
Stuart H. Altman	{}
Stuart Jamieson	{'Percy Gladstone': 1}
Stuart M. Klein	{'Robert A. Sutermeister': 1}
Stuart Macintyre	{'Charles More': 1}
Stuart O. Schweitzer	{}
Stuart S. Nagel	{}
Stuart S. Rosenthal	{'William C. Strange': 1}
Stuart Taylor	{}
Stuart W. Leslie	{'Leonard S. Reich': 1}
Stuart Woolf	{'Sandra Cavallo': 1}
Stylianos Perrakis	{'John Zerbinis': 1}
Stéfanie von Hlatky	{'Jessica N. Trisko': 1}
Stéphan Vincent-Lancrin	{}
Stéphane Auray	{'Cl\xc3\xa9mentine Gall\xc3\xa9s': 1}
Stéphane Labranche	{'Julien Bauer': 1}
Subhash C. Jain	{}
Subhash C. Ray	{}
Subhash Sharma	{}
Subimal Mookerjee	{'Anand G. Chandavarkar': 1, 'D. J. Cleary': 1}
Subramanian Swamy	{}
Subrata Ghatak	{'Prema-Chandra Athukorala': 1, 'Kenal Sen': 1}
Sudhakar D. Deshmukh	{'Stuart I. Greenbaum': 1, 'George Kanatas': 1}
Sudhakar V. Balachandran	{}
Sudheer Chava	{'Amiyatosh Purnanandam': 1, 'Dmitry Livdan': 1}
Sudheer Gupta	{}
Sudipto Bhattacharya	{'Jay R. Ritter': 1}
Sue Birley	{'Mike Wright': 1, 'Arnold Cooper': 1}
Sue Headlee	{}
Sue Mu-chiao	{'Sue Cerroni': 1, 'Fidel Castro': 1, 'Che Guevara': 1, 'Sue Tito': 1, 'Fidel Allende': 1}
Sugata Marjit	{'Arijit Mukherjee': 1}
Sugato Chakravarty	{'John J. McConnell': 1}
Sui-Hua Yu	{'Wei-Ting Chiu': 1}
Suk-won Choi	{'Brent Sohngen': 1, 'Alla Golub': 1, 'Steven Rose': 1, 'Tom Hertel': 1}
Sulayman Al-Qudsi	{}
Suleyman Basak	{}
Sultan S. Hashmi	{'Mohammad Afzal': 1}
Suman Sen	{'James Cowley': 1}
Sumit Joshi	{'Poorvi L. Vora': 1}
Sunder Kekre	{'Sampath Rajagopalan': 1, 'Thomas A. Powell': 1, 'Purushottaman Nandakumar': 1}
Sung Deuk Hahm	{'Mark S. Kamlet': 1, 'David C. Mowery': 1}
Sung Ko Li	{'Long Zhao': 1}
Sung-Hee Jwa	{}
Sungeun (Ange) Kim	{'Jungkeun Kim': 1}
Sungjoon Nam	{'Puneet Manchanda': 1, 'Pradeep K. Chintagunta': 1}
Sungmin Kang	{'L. Joseph Thomas': 1, 'Kavindra Malik': 1}
Sunil Gupta	{}
Sunil Kumar	{'Jayashankar M. Swaminathan': 1}
Sunny L. Munn	{'Kristen S. Seefeldt': 1, 'Ann C. Crouter': 1, 'Allen Booth': 1}
Sunwoong Kim	{}
Suphan Andic	{'Richard M. Bird': 1, 'Julian S. Alworth': 1, 'Robert Anthoine': 1}
Surachai Mermin	{}
Suraiya Faroqhi	{'Haim Gerber': 1, 'Amnon Cohen': 1}
Surai̇ya Faroqhi̇	{}
Surendra P. Agrawal	{'David Tweedie': 1}
Surendrakumar Bagde	{'Lowell Taylor': 1, 'Dennis Epple': 1}
Suresh K. Jain	{}
Suresh Naidu	{'Sung-Ha Hwang': 1, 'Samuel Bowles': 1}
Suresh P. Sethi	{'Hanqin Zhang': 1, 'Houmin Yan': 1}
Surjit S. Bhalla	{}
Susan A. McDaniel	{}
Susan Appe	{}
Susan B. Hanley	{}
Susan Belden	{}
Susan D. Baker	{'Christopher J. Mathis': 1, 'Susan Stites-Doe': 1}
Susan Dartford	{'Nevile Wallis': 1}
Susan Dobscha	{'Julie L. Ozanne': 1}
Susan E. Mayer	{'Christopher Jencks': 1}
Susan E. Woodward	{'Joseph McCahery': 1, 'Luc Renneboog': 1}
Susan F. Feiner	{}
Susan Fuhrman	{}
Susan Godlonton	{'Rebecca L. Thornton': 1}
Susan H. Godar	{"Patricia J. O'Connor": 1, 'Virginia Anne Taylor': 1}
Susan Hewer	{}
Susan Hill Cochrane	{}
Susan J. Ashford	{}
Susan J. Linz	{'Eugene Zaleski': 1, 'Marie-Christine MacAndrew': 1, 'John H. Moore': 1}
Susan M. Collins	{'Dani Rodrik': 1, 'Barry P. Bosworth': 1}
Susan M. Katz	{'Robert Casey': 1, 'Lynda Aiman-Smith': 1}
Susan Mohammed	{'John E. Mathieu': 1}
Susan P. Douglas	{'Edwin J. Nijssen': 1, 'C. Samuel Craig': 1}
Susan Rose-Ackerman	{}
Susan Strange	{'M. Beenstock': 1, 'J. J. van Duijn': 1}
Susan T. Gooden	{'Alan Weil': 1, 'Lawrence M. Mead': 1, 'M. Bryna Sanger': 1, 'Kasey J. Martin': 1}
Susan V. Scott	{'Geoff Walsham': 1}
Susan Van Gelder	{'Mark R. Meiners': 1}
Susan White	{}
Susana Graça	{'Edward Fullbrook': 1}
Susanne Böhlich	{}
Susanne Hilger	{'Martin Lutz': 1}
Susanne Lepsius	{'Siegrid Westphal': 1}
Susanne Vaudt	{}
Susanto Basu	{'Alan M. Taylor': 1}
Susan M. Dynarski	{'Judith\xc2\xa0E. Scott\xe2\x80\x90Clayton': 1}
Suse Baeriswyl	{'Stephanie Irrgang': 1}
Sutton E. Tikiwala	{}
Suzanne De Brunhoff	{}
Suzanne Giesbers	{'Erik Poutsma': 1, 'Beatrice I.J.M. van der Heijden': 1, 'Roel L.J. Schouteten': 1, 'Theo van Achterberg': 1}
Suzanne Quiers-Valette	{}
Suzanne Zivnuska	{'Lawrence Lessig': 1, 'Grant Miles': 1, 'Raymond E. Miles': 1, 'Michael J. Gundlach': 1, 'Charles C. Snow': 1}
Suzy Fox	{'Paul E. Spector': 1}
Sven Beckert	{'Olivier Zunz': 1}
Sven Brisman	{'Eli F. Heckscher': 1}
Sven Grabe	{'Frederic Meyers': 1}
Svetlana Holt	{'Joan Marques': 1}
Svetlana Jacquesson	{}
Svetozar Pejovich	{}
Sybil C. Mobley	{'Horace R. Brock': 1, 'Charles E. Palmer': 1, 'Fred C. Archer': 1}
Sydney Knox Mitchell	{'Reginald L. Poole': 1}
Sydney Webb	{}
Sydnor V. Reiss	{'George E. Harris': 1, 'Lee O. Thayer': 1}
Syed Adnan Haider Ali Shah Bukhari	{'Muhammad Sabihuddin Butt': 1, 'Shaista Alam': 1, 'Mohsin Hassnain Ahmad': 1, 'Syeda Sonia Haider Ali Shah Bukhari': 1}
Syed Nawab Haider Naqvi	{'Asghar Qadir': 1}
Syed Nisar Hussain Hamdani	{'Eatzaz Ahmad': 1, 'Nadeem Inayat': 1}
Syed Tanwir Husain Naqvi	{}
Syed Zulfiqar Ali Shah	{'Muhammad Naeem': 1, 'Zafar Mueen Nasir': 1}
Syeda Fizza Gillani	{}
Sylvain Sorin	{}
Sylvain Sénéchal	{'Laurent Georges': 1, 'Jean Louis Pernin': 1}
Sylvia A. Allegretto	{'Michelle M. Arthur': 1}
Sylvia F. Porter	{}
Sylvia L. Thrupp	{'M. B. Donald': 1, 'A. L. Merson': 1, 'A. L. Rowse': 1}
Sylvia Meierewert	{}
Sylvie Lecarpentier-Moyal	{'Patricia Renou-Maissant': 1}
Szilvia Pápai	{}
SÉBASTIEN SOULEZ	{}
Sébastien Dupuch	{'Jacques Mazier': 1}
Séverine Gaille	{'Michael Sherris': 1}
Søren Asmussen	{'Tomasz Rolski': 1}
Søren Tolver Jensen	{'Anders Rahbek': 1}
T. A. B. CORLEY	{'ANDREW GODLEY': 1}
T. A. J. Nicholson	{}
T. A. Keenleyside	{'Charles Taylor': 1}
T. A. Smiddy	{'B\xc3\xa9la F\xc3\xb6ldes': 1}
T. Agmon	{'Y. Kahane': 1}
T. Aldrich Finegan	{}
T. Anderson White	{'C. Ford Runge': 1}
T. B. SPRAGUE	{}
T. B. Sprague	{}
T. BAUER	{}
T. Badics	{'E. Boros': 1}
T. Balogh	{}
T. Barna	{'H. Barger': 1}
T. C. Barker	{'Alan Barnard': 1, 'John Stevenson': 1}
T. C. Hu	{'F. Ruskey': 1, 'Y. S. Kuo': 1}
T. C. Smout	{'B. W. Clapp': 1}
T. Chen	{'Shoichi Ito': 1}
T. D. Stanley	{}
T. D. Wallace	{'Ashiq Hussain': 1}
T. Daniel Coggin	{'Frank J. Fabozzi': 1, 'John E. Hunter': 1, 'Shafiqur Rahman': 1}
T. E. Flanagan	{'James M. Buchanan': 1}
T. Edward Gavin	{'Robert Douglass Stuart': 1}
T. Forster	{}
T. G. Jackson	{'Charles D. Abel': 1, 'D. J. Blaikley': 1, 'W. D. McConnell': 1}
T. H. BEEBE	{}
T. H. Lyon	{}
T. H. Mattheiss	{'Gerald Moeller': 1, 'James Kilar': 1}
T. H. Sanders	{'George O. May': 1, 'Dwight C. Rose': 1}
T. I. McGloughlin	{}
T. J. Whiteside	{}
T. K. Gribbin	{}
T. K. N. Unnithan	{'J. A. Hobson': 1, 'A. F. Mummery': 1}
T. K. Peng	{'Mark F. Peterson': 1, 'Yuh-Ping Shyi': 1}
T. Krishna Kumar	{'James H. Gapinski': 1}
T. Kushnir	{'S. Melamed': 1}
T. M. Bagnold	{'John Wheatley': 1}
T. M. Biddulph	{'J. T. Fallon': 1, 'P. LE NEVE FOSTER': 1, 'Francis Charles Knowles': 1}
T. M. Whitin	{'Teun Klock': 1, 'Henri Theil': 1}
T. M. Williams	{'R. Fletcher': 1}
T. N. Carver	{'C. W. A. Veditz': 1}
T. N. Hurd	{}
T. Paul Schultz	{'Paul Glewwe': 1, 'Margaret Grosh': 1}
T. R. Ablett	{}
T. R. Cave-Browne-Cave	{}
T. S. Adams	{}
T. S. Ashton	{'Lord Beveridge': 1}
T. S. Leigh	{}
T. S. Simey	{'William A. Robson': 1}
T. Srinivasaraghavan	{}
T. Swann Harding	{}
T. Thorne Baker	{}
T. W. Anderson	{}
T. W. McRae	{}
T. W. Wood	{'W. Rupert Maclaurin': 1, 'Charles A. Myers': 1}
T. Wilson	{}
T. ZERBI	{'V. R. Gadgil': 1, 'D. R. Gadgil': 1}
T. de Biolley	{'J. Denizet': 1, "V. Giscard d'Estaing": 1}
T. van Voorhis	{}
T.A. Wilson	{}
T.K. Moulik	{}
T.R. McHale	{}
TAHIR MAHMOOD	{'SHAHNAZ A. RAUF': 1}
TAI-HSIN HUANG	{}
TAMÁS VONYÓ	{}
TANJIM HOSSAIN	{'RYO OKUI': 1}
TAREK K. ABDEL-HAMID	{}
TERESA GHILARDUCCI	{}
TH. BRAUER	{}
THERLE HUGHES	{'Henry Sandon': 1, 'Terence A. Lockett': 1, 'John Sandon': 1, 'Geoffrey A. Godden': 1}
THIERRY FOUCAULT	{'OHAD KADAN': 1, 'EUGENE KANDEL': 1}
THIJS TEN RAA	{'PIERRE MOHNEN': 1}
THOMAS CARR	{}
THOMAS J. HICKEY	{'SUE TITUS REID': 1}
THOMAS RUDOLF WIESE	{}
THOMAS S. ADAMS	{}
THORSTEN BECK	{'YUE MA': 1, 'CHEN LIN': 1}
TIM BOLLERSLEV	{'VIKTOR TODOROV': 1}
TIM HITCHCOCK	{'Phil Withington': 1}
TIMOTHY FOSTER	{}
TIMOTHY J. BRENNAN	{}
TOBY A. A. HEAPS	{'MARTIN WHITTAKER': 1, 'ROB CARRICK': 1}
TOM WILLIAMSON	{'Max Satchell': 1, 'Edward Martin': 1}
TOMOE MOORE	{'ERIC J. PENTECOST': 1}
TOR-ERIK BAKKE	{'TONI M. WHITED': 1}
TRACI SITZMANN	{'KATHERINE ELY': 1, 'KENNETH G. BROWN': 1, 'KRISTINA N. BAUER': 1}
TRACY D. HECHT	{'NATALIE J. ALLEN': 1}
TREVOR RUSSELL-COBB	{'Tessa Rose Chester': 1, 'Joyce Irene Whalley': 1}
TYLER HAMILTON	{'SANJAY KHANNA': 1, 'TARA PERKINS': 1, 'CORY SEARCY': 1}
Ta Chen	{'Hugh L. Kerwin': 1}
Taco Brandsen	{'Ruth Simsa': 1}
Tadiboyina Venkateswarlu	{}
Tae-Ho Yoo	{}
Tahseen Ajaz	{'Eatzaz Ahmad': 1}
Taisuke Nakata	{}
Takatoshi Ito	{'David E. Weinstein': 1}
Takeshi Yuzawa	{'Hideaki Mityajima': 1, 'Mark Mason': 1, 'Takeo Kikkawa': 1, 'Takashi Hikino': 1}
Takuya Nakaizumi	{}
Tal Gross	{'Jeremy Tobacman': 1}
Talat Anwar	{'Rizwana Siddiqui': 1}
Tamara F. Mangleburg	{'Maria Hatzios': 1, 'Trina Bogle': 1, 'Dhruv Grewal': 1, 'Danny Axsom': 1, 'C. B. Claiborne': 1, 'M. Joseph Sirgy': 1}
Tamara J. Erickson	{'Kamal N. Saad': 1, 'John F. Magee': 1, 'Philip A. Roussel': 1}
Tamara L. Friedrich	{'Michael D. Mumford': 1, 'Cheryl K. Beeler': 1, 'Dawn L. Eubanks': 1, 'Brandon Vessey': 1}
Tamir Agmon	{}
Tania Barham	{'Karen Macours': 1, 'John A. Maluccio': 1}
Tanja Rabl	{'Mar\xc3\xada del Carmen Triana': 1}
Taoufik Bouezmarni	{'Olivier Scaillet': 1}
Tapan Mitra	{'Efe A. Ok': 1}
Tapan Munroe	{'Leslie Baroody': 1}
Tapan S. Roy	{'Robert Charles Witt': 1}
Tapiwa Chagonda	{'John S. Saul': 1}
Tara Perkins	{}
Tara Watson	{}
Tariq Mahmood	{'M. Mazhar Iqbal': 1, 'Ejaz Ghani': 1}
Tariq Osman Hyder	{}
Tarja Ketola	{}
Tarun Khanna	{'Krishna Palepu': 1}
Tarà Lopez	{'Amy McMillan-Capehart': 1}
Tat Y. Chan	{'Chunhua Wu': 1, 'Ying Xie': 1}
Tatiana Kirsanova	{'John B. Taylor': 1, 'John H. Cochrane': 1}
Tatiana Kostova	{'G Tomas M Hult': 1}
Taufiq M. Khan	{}
Taye Mengistae	{'Lixin Colin Xu': 1}
Tayeb El-Hibri	{}
Tayfun Sönmez	{}
Taylor Hollander	{"Ruth O'Brien": 1}
Taylor W. Foster,	{'Don Vickrey': 1}
Teck-Hua Ho	{'So-Eun Park': 1, 'Shan Li': 1, 'Juin-Kuan Chong': 1, 'Zuo-Jun Max Shen': 1}
Ted C. Schroeder	{'Terry L. Kastens': 1, 'Joseph L. Parcell': 1, 'Kevin C. Dhuyvetter': 1}
Ted Kumpe	{'Piet T. Bolwijn': 1}
Ted Munden	{}
Ted Wheelwright	{'Rosalind E. Boyd': 1, 'Robin Cohen': 1, 'Peter C. W. Gutkind': 1}
Terance J. Wolfe	{}
Terence A. Oliva	{'Ian C. MacMillan': 1, 'Diana L. Day': 1}
Terence A. Shimp	{'Elnora W. Stuart': 1, 'Subhash Sharma': 1, 'David C. Dyer': 1}
Terence Bates	{}
Terence Dwyer	{}
Terence J. Centner	{}
Terence Lim	{}
Terence Ping-Ching Fan	{'Alex Tai Loong Tan': 1}
Terence R. Gourvish	{}
Terence R. Mitchell	{}
Terje Tvedt	{}
Terrance M. Hurley	{'Gary L. Malzer': 1, 'Kikuo Oishi': 1}
Terrance Noguera	{'Magdy Trejo-Pech': 1}
Terrence August	{'Tunay I. Tunca': 1}
Terrence Chorvat	{}
Terrence E. Daniel	{'Henry M. Goldberg': 1}
Terrence M. Jameson	{}
Terri A. Scandura	{'Chester A. Schriesheim': 1}
Terri Kneeland	{}
Terry A. Taylor	{'Wenqiang Xiao': 1}
Terry Barker	{'Wassily Leontief': 1}
Terry Connolly	{'Doug Dean': 1}
Terry Glover	{'V. Kerry Smith': 1}
Terry Gourvish	{'Tony Freyer': 1}
Terry L. Anderson	{'Robert Paul Thomas': 1}
Terry L. Cooper	{}
Terry L. Kastens	{'Allen M. Featherstone': 1}
Terry L. Roe	{}
Terry Rose	{'Robert I. Mehr': 1}
Terry Williams	{'J. O. McClain': 1, 'L. J. Thomas': 1}
Terry D. Clark	{'Ernest Goss': 1, 'Larisa\xc2\xa0B. Kosova': 1}
Terumichi Tsuchida	{}
Th. Eheberg	{}
Th. Plaut	{'Walter Randermann': 1, 'Hermann Albers': 1, 'Paul Baer': 1}
Thad L. Beyle	{'Robert Hueffner': 1}
The World Bank	{}
Thea Stäudel	{}
Thelma Liesner	{'K. A. Kennedy': 1}
Theo Keller	{}
Theo Surányi-Unger	{'Hermann Schumacher': 1, 'Erich Preiser': 1}
Theodor D. Zotschew	{'Donald R. Hodgman': 1}
Theodor J. Stewart	{}
Theodor Kittel	{'A. Wirminghaus': 1}
Theodor Plaut	{}
Theodor Th. Neubauer	{}
Theodor v. Pistorius	{'Friedr. Raab': 1, 'M. J. Bonn': 1}
Theodore A. Van Wormer	{'Doyle L. Weiss': 1}
Theodore Bakerman	{'Dan M. McGill': 1, 'Davis W. Gregg': 1}
Theodore Byerly	{}
Theodore E. Day	{'Craig M. Lewis': 1}
Theodore E. Howard	{}
Theodore E. Keeler	{'Almarin Phillips': 1}
Theodore H. Boggs	{}
Theodore H. Poister	{'Thomas D. Larson': 1, 'Harry P. Hatry': 1, 'John M. Greiner': 1, 'Donald M. Fisk': 1}
Theodore Hitiris	{}
Theodore J. Kreps	{'John Joseph Beer': 1}
Theodore Lang	{'Arnold W. Johnson': 1}
Theodore M. Kheel	{}
Theodore M. Smith	{}
Theodore Morgan	{}
Theodore N. Beckman	{'Robert D. Buzzell': 1}
Theodore O. Yntema	{}
Theodore R. Sizer	{}
Theodore Saloutos	{'Howard R. Smith': 1}
Theodore T. Pettus	{}
Theodore W. Schultz	{}
Theoharry Grammatikos	{'Anthony Saunders': 1}
Theresa D. Hammond	{'Marilyn Kleinberg Neimark': 1}
Theresa Osborne	{}
Therese A. Louie	{'Robert L. Kulik': 1, 'Robert Jacobson': 1}
Thierry Foucault	{'Roman Kozhan': 1, 'Albert J. Menkveld': 1, 'Wing Wah Tham': 1}
Thierry Magnac	{}
Thierry Tressel	{'Thierry Verdier': 1}
Thiess Büttner	{'Herbert Wiesner': 1, 'Reinhard M\xc3\xbcller': 1, 'Bodo Leibinger': 1}
Thom J. Hodgson	{'Arnold O. Allen': 1}
Thomas A. Hemphill	{'William J. Holstein': 1, 'Henry Chesbrough': 1, 'Gary L. Reback': 1}
Thomas A. Hirschl	{}
Thomas A. Klein	{'Alan R. Andreasen': 1}
Thomas A. Morrison	{'Eugene Kaczka': 1}
Thomas Aleweld	{'Carsten H\xc3\xb6lscher': 1}
Thomas Aronsson	{'Olof Johansson-Stenman': 1}
Thomas Balogh	{}
Thomas Baudin	{'David de la Croix': 1, 'Paula E. Gobbi': 1}
Thomas Behrends	{'Dieter Tatje': 1}
Thomas Breisig	{}
Thomas Brodaty	{'Gw\xc3\xa9na\xc3\xabl Jacotin': 1}
Thomas C. Berry	{'Joan C. Junkus': 1}
Thomas C. Cochran	{'E. Ray Canterbery': 1}
Thomas C. Coleman	{'Roger D. Rutz': 1}
Thomas C. Kinnaman	{}
Thomas C. Kinnear	{}
Thomas C. Lowinger	{'Clas Wihlborg': 1, 'Elliott S. Willman': 1}
Thomas C. Mawhinney	{'Lee W. Frederiksen': 1}
Thomas C. Morrill	{}
Thomas C. Omer	{'Jean C. Bedard': 1}
Thomas C. Ritt	{}
Thomas C. Schelling	{}
Thomas Cleff	{}
Thomas Cornelissen	{'Uta Sch\xc3\xb6nberg': 1, 'Christian Dustmann': 1}
Thomas Dernburg	{'Kenneth Strand': 1}
Thomas Dohmen	{'J\xc3\xbcrgen Schupp': 1, 'Armin Falk': 1, 'Uwe Sunde': 1, 'David Huffman': 1, 'Gert G. Wagner': 1}
Thomas Donaldson	{}
Thomas E. Becker	{}
Thomas E. Borcherding	{'Eugene Silberberg': 1}
Thomas E. Conine,	{'Maurry Tamarkin': 1, 'Oscar W. Jensen': 1}
Thomas E. DeCarlo	{'Sanjeev Agarwal': 1, 'Shyam B. Vyas': 1}
Thomas E. Drabek	{}
Thomas E. Elam	{}
Thomas E. Hoff	{}
Thomas Elbel	{}
Thomas Erlebach	{'Danica Vukadinovi\xc4\x87': 1, 'Linda S. Moonen': 1, 'Frits C. R. Spieksma': 1}
Thomas F. Davis	{}
Thomas F. Huertas	{'Eugene Nelson White': 1}
Thomas F. Pogue	{'L. G. Sgontz': 1}
Thomas F. Sheppard	{'Guy Cabourdin': 1}
Thomas F. Stafford	{}
Thomas F. Stinson	{'Edward F. Krahmer': 1}
Thomas F. Wilson	{'Sidney Homer': 1, 'Richard Sylla': 1}
Thomas G. Cowing	{'A. G. Holtmann': 1}
Thomas G. Cummings	{'William M. Evan': 1}
Thomas G. Marx	{}
Thomas G. Moehrle	{}
Thomas Geer	{}
Thomas George	{}
Thomas H. Bivins	{}
Thomas H. Carroll	{}
Thomas H. Davenport	{}
Thomas H. Goodwin	{'Steven M. Sheffrin': 1}
Thomas H. McCurdy	{'Ieuan Morgan': 1}
Thomas H. Noe	{}
Thomas H. Patten,	{'Jay M. Shafritz': 1}
Thomas Hammer	{}
Thomas Havrilesky	{}
Thomas Hemmer	{}
Thomas Hermann	{'Armin M\xc3\xbcller': 1}
Thomas I. Palley	{'John Vail': 1, 'Jane Wheelock': 1}
Thomas J. Anton	{'Martin Bulmer': 1}
Thomas J. Barth	{'Phillip J. Cooper': 1, 'Chester A. Newland': 1, 'Jack Rabin': 1, 'Stephen E. Condrey': 1, 'Gerald J. Miller': 1, 'Thomas Vocino': 1, 'John J. Gargan': 1, 'James L. Perry': 1, 'W. Bartley Hildreth': 1, 'David H. Rosenbloom': 1, 'Terry L. Cooper': 1, 'Gerald D. Miller': 1, 'Mark T. Green': 1, 'Richard D. Schwartz': 1}
Thomas J. Bassett	{}
Thomas J. Butko	{'Jonathan Nitzan': 1, 'Shimshon Bichler': 1}
Thomas J. Cawley	{'Richard K. Lester': 1, 'Robert M. Solow': 1, 'Daniel T. Jones': 1, 'Michael L. Dertouzos': 1, 'Daniel Roos': 1, 'James P. Womack': 1}
Thomas J. DiLorenzo	{'Joan DelFattore': 1}
Thomas J. Gibson	{}
Thomas J. Holmes	{'Robert Pool': 1, 'John J. Stevens': 1}
Thomas J. Leary	{}
Thomas J. Miceli	{'Kathleen Segerson': 1}
Thomas J. Misa	{'Carol Willis': 1}
Thomas J. Nechyba	{}
Thomas J. O'Brien	{'Bennie H. Nunnally,': 1}
Thomas J. Orsagh	{'Peter Temin': 1}
Thomas J. Rothenberg	{}
Thomas J. Sargent	{}
Thomas Johnson	{}
Thomas K. Standish	{}
Thomas Küster	{'Thomas Schaarschmidt': 1}
Thomas L. Ainscough	{'Carol M. Motley': 1}
Thomas L. Carson	{}
Thomas L. Guthrie	{}
Thomas L. Haskell	{}
Thomas L. Saaty	{'S. Vajda': 1}
Thomas L. Wenck	{}
Thomas Langer	{'Martin Weber': 1}
Thomas LeDuc	{'Harold A. Innis': 1}
Thomas Lemieux	{}
Thomas Lenz	{}
Thomas M. Brooks	{'John A. Howard': 1, 'James Hulbert': 1}
Thomas M. Cook	{}
Thomas M. Fullerton	{'David R. Lampe': 1}
